pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
,Offloading Delay Minimization in Uplink MEC Via Multi-modal Multi-agent Reinforcement Learning,,,"J.Kwon, S.Lee, H.Park",,,,2026-12-07,,IEEE GLOBECOM,,,,,,,,,,,,,,,,,,,,,,,,,forthcoming,,,,
1199,Exploiting Near-Field Effect With Spatially Separated Sub-arrays for Upper Mid-Band ISAC,inproceedings,M.Hwang2026,"M.Hwang, H.Park, N. Gonzalez-Preclic",,,,2026-05-24,0000-00-00,"IEEE International Conference on Communications (ICC) 2026, Glascow, Scotland",,,,,,,,,,,,,,,,,,,,,,,1,0,published,2026-05-29 14:49:03,2026-05-29 14:49:03,,0
1184,Semantic Packet Aggregation and Repeated Transmission for Text-to-Image Generation,inproceedings,Lee2025,"S. Lee, J. Park, J. Choi, H. Park",,,,2025-06-08,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Communications (ICC) 2025, Montreal, Canada",,,,,,,,,,,,1,0,published,2025-03-11 16:04:20,2026-01-19 14:16:50,,0
1185,Robust ISAC Beamformer Utilizing Angular Distributions of Target and Clutters,inproceedings,Kim2025,"H. Kim, J. Jee, H. Park",,,,2025-06-08,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Communications (ICC) 2025 Workshops, Montreal, Canada",,,,,,,,,,,,1,0,published,2025-03-11 17:00:58,2026-01-19 14:15:02,,0
1189,Semantic Packet Aggregation for Token Communication Via Genetic Beam Search,inproceedings,Lee2025c,"S. Lee, J. Park, J. Choi, and H. Park",,,,2025-05-25,0000-00-00,,,,,,,,,,,,"2025 IEEE Workshop on Signal Processing and Artificial Intelligence for Wireless Communications (SPAWC 2025), Surrey, UK",,,,,,,,,,,,1,0,published,2025-05-26 14:27:17,2026-01-19 14:26:10,,0
1117,Integrated Localization and Communication in 3GPP Industrial Enviroments,inproceedings,Kwon2023b,"G. Kwon, Z. Liu, A. Conti, H. Park, M. Win",,,,2024-04-19,0000-00-00,,,,,,,,,,,,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP 2024), Seoul, Korea,",,,,,,,,,,,10.1109/ICASSP48485.2024.10447698,1,0,published,2023-12-14 12:32:54,2024-11-21 15:26:45,,0
1114,Impact of Imperfect Channel State Information on Achievable Rate With Zero-Forcing Precoding in Massive MIMO Systems for Multi-numerology,inproceedings,Son2023,"H. Son, G. Kwon, H. Park, J. Park",,,,2023-12-25,0000-00-00,,,,,,,,,,,,"IEEE Military Communications Conference (MILCOM 2023), Boston, USA,",,,,,,,,,,,10.1109/MILCOM58377.2023.10356334,1,0,published,2023-10-04 11:23:34,2024-01-03 10:18:56,,0
1110,An Effective Hybrid Beamforming for MIMO-OFDM With Beam Squint,inproceedings,Kim2023,"Y. Kim, H. Nam, H. Son, H. Park",,,,2023-10-10,0000-00-00,,,,,,,,,,,,"IEEE Vehicular Technology Conference (VTC 2023-Fall), Hong Kong",,,,,,,,,,,10.1109/VTC2023-Fall60731.2023.10333490,1,0,published,2023-09-05 10:55:29,2023-12-15 12:37:21,,0
1111,3D State Transition Modeling and Power Allocation for UAV-Aided ISAC System,inproceedings,Kim2023b,"H. Kim, M. Hwang, J. Jee, J. Park, H. Park",,,,2023-10-10,0000-00-00,,,,,,,,,,,,"IEEE Vehicular Technology Conference (VTC 2023-Fall), Hong Kong",,,,,,,,,,,10.1109/VTC2023-Fall60731.2023.10333704,1,0,published,2023-09-05 11:03:58,2023-12-15 12:38:23,,0
1101,A Novel Pilot Design and Channel Estimation in 5G Multi-numerology Systems,inproceedings,Son2022,"H. Son, G. Kwon, H. Park, J. Park",,,,2022-06-19,0000-00-00,,,,,,,,,,,,"IEEE Vehicular Technology Conference (VTC 2022), Helsinki, Finland",,,,,,,,,,,10.1109/VTC2022-Spring54318.2022.9860827,1,0,published,2022-03-07 10:55:23,2022-11-08 16:12:19,,0
