pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
,Hybrid-Field Beamforming for Wideband Extremely Large MIMO Systems,,,H. Nam and H. Park,,,,2026-08-28,,,,IEEE Communications Letters,,,,,,,,,,,,,,,,,,,,,,,forthcoming,,,,
,Unsupervised Context Adaptation With Attention for Estimating Threshold Voltage Distributions Under Process Variation,,,"I. Choi, M. Hwang, J. Jee, and H. Park",,,,2026-08-10,,,,IEEE Access,,,,,,,,,,,,,,,,,,,,,,,forthcoming,,,,
1197,Low-Complexity Semantic Packet Aggregation for Token Communication Via Lookahead Search,article,Lee2026,"S. Lee, J. Park, J.Choi, H. Park",,1558-0857,,2026-05-10,0000-00-00,,,IEEE Transactions on Communications,,,,,,,,,,,,,,,,,,,,,0,0,forthcoming,2026-05-12 12:58:55,2026-05-12 13:16:07,,0
1195,Deadline-Aware Joint Optimization of Task Offloading and Resource Allocation for Cell-Free Mobile Edge Computing Networks,article,N.Hong2026,"N.Hong, S.Lee, H.Park",,1389-1286,,2026-05-01,0000-00-00,,,Computer Networks,281,112219,,,,,,,,,,,"The increasing demand for wireless applications with tight deadlines and intensive computational requirements has exposed the limitations of traditional mobile edge computing (MEC). In such a tight deadline task processing environment, it is inevitable that some tasks cannot be processed within the deadline and are dropped. To tackle this, we formulate an optimization problem that minimizes a weighted sum of the dropout ratio and average delay. To solve the problem, we present an integrated method that combines MEC with cell-free networks. In addition, we propose the Joint optimization of Association, Beamforming, Task Offloading, and Resource Allocation (JAB-TORA), which accounts for realistic wireless conditions. We formulate the problem as a Markov decision process and address it using a multi-agent deep reinforcement learning approach. Simulation results demonstrate the inversely proportional relationship between the dropout ratio and the average delay when adjusting the weights. These weights can be adjusted to meet the required dropout ratio or delay level. Furthermore, we demonstrate that the proposed method achieves a lower dropout ratio and delay than other offloading methods.",,,,,,,https://doi.org/10.1016/j.comnet.2026.112219,0,0,forthcoming,2026-04-07 22:03:49,2026-04-07 22:11:00,,0
1193,DeepMUTAT: Multiple Targets Tracking Algorithm Using Multiple UAVs,article,Kim2026,"S. Kim, S. Lim, J. Park, H. Park",,1939-9359,,2026-03-03,0000-00-00,,,IEEE Transactions on Vehicular Technology,,,,,,,,,,,,,"Unmanned aerial vehicle (UAV)-assisted networks are a promising technology in future wireless communication networks. Numerous applications related to UAV-assisted networks include mobile users (or targets) such as people, selfdriving vehicles, and robots. The location information of mobile devices is an essential element for realizing these applications. Furthermore, for providing services to mobile devices that move over time, real-time multi-target tracking is necessary. To ensure fair service provision to multiple users, unnecessary duplicated support or unsupported users should be avoided. For this reason, we consider multiple-target assignment constraints to fairly provide services. These motivations lead to the design of multiple UAV target assignment and tracking (MUTAT). In this paper, we propose a joint multi-UAV target assignment and tracking scheme to minimize target tracking errors while ensuring multiple target assignment constraints. Our proposed approach, named deep reinforcement learning-based multi-UAV target assignment and tracking (DeepMUTAT), consists of two distinct stages. In the first stage, to reduce computational complexity and ensure multiple target assignment constraints, we adopt a deep reinforcement learning (DRL)-based multi-target assignment for efficient multitarget tracking. In the second stage, to minimize tracking errors without requiring knowledge of the dynamics of targets and to avoid collisions with surrounding obstacles, we propose a DRL-based multi-target tracking approach. Based on extensive simulations, we demonstrate the performance of the proposed scheme compared to baseline schemes in terms of tracking error and tracking success probability. The proposed scheme achieved similar performance to the baseline scheme but had lower computational complexity.",,,,,,,10.1109/TVT.2026.3669430,0,0,forthcoming,2026-03-10 13:21:04,2026-04-07 22:08:40,,0
1192,Intelligent Read Framework With Meta-learning for NAND Flash Memory Under Process Variation,article,Hwang2026,"M. Hwang, I. Choi, J. Jee, H. Park",,2169-3536,,2026-02-16,0000-00-00,,,IEEE Access,14,,26363 - 26380,,,,,,,,,,"The storage density of NAND flash memory has significantly increased due to multi-leveling and downscaling technologies. As a side effect of enhanced storage capacity, flash memory becomes vulnerable to circuit-level noise. To enhance data reliability, NAND flash memory employs error correction codes such as low-density parity-check (LDPC) code with soft-decision (SD) decoding based on log-likelihood ratio (LLR) information. Conventional SD read uses pre-defined uniform quantization, which is not optimized for varying threshold voltage distributions caused by physical noise, degradation, and process variation (PV). We propose an intelligent read framework employing a non-uniform quantizer that adjusts read reference voltages (RRVs) and LLR values according to the memory channel state. The optimization of RRVs and LLRs requires information on threshold voltage distributions. To accurately estimate the threshold voltage distribution from limited channel information, we propose a machine learning-based estimation model. Moreover, we incorporate model-agnostic meta-learning, enabling precise estimation of threshold voltage distribution across different flash chips addressing PV. Numerical results demonstrate significant improvements in read performance, validating the effectiveness of the proposed framework.",,,,,,,10.1109/ACCESS.2026.3664803,0,0,published,2026-03-10 13:14:50,2026-03-10 13:15:10,,0
1191,On the Optimal Duplexing Strategy for Wireless-Powered Communication Networks,article,A.Ahmadian2025,"A.Ahmadian, H.Park",,1874-4907,,2025-07-22,0000-00-00,,,Physical Communication,72,,,,,,,,,,,,"Due to its simplicity and lack of channel state information (CSI) feedback requirements, time division duplexing (TDD) has been the preferred duplexing method in wireless-powered communication networks (WPCNs), while the advantages of frequency-division duplexing (FDD) has remained largely unexplored. Yet, the decision between TDD and FDD goes beyond CSI considerations, as it depends on various system parameters and operational trade-offs not previously considered. In FDD, the transmitter remains active throughout the entire frame duration, enabling more effective utilization of the maximum instantaneous transmit power of the hybrid access point (HAP). In contrast, TDD exploits the full bandwidth (BW), thereby making better use of the feasible maximum power spectral density (PSD). Finally, while the constraint of maximum time-averaged transmit power in FDD closely resembles the effect of the maximum instantaneous transmit power constraint, they have different effects on the operation of the TDD-WPCN.
To analyze these effects, we thoroughly investigate both TDD-WPCN and FDD-WPCN and characterize their respective operating regions. Our extensive theoretical and simulation results reveal that selecting between the two schemes involves a complex, multidimensional trade-off, warranting careful consideration in system design. We demonstrate that, under certain assumptions, the throughput of an FDD-WPCN can be substantially greater than that of the same WPCN operating in TDD mode. Furthermore we prove that, under certain conditions, a single-node FDD-WPCN can achieve a two-fold increase in throughput compared to a single-node TDD-WPCN.",,,,,,,https://doi.org/10.1016/j.phycom.2025.102729,0,0,published,2026-01-19 14:23:18,2026-01-19 14:23:18,,0
1187,A Novel Iterative Hybrid Beamforming Design With Per-RF Chain Power Constraints in Massive MIMO OFDM Systems,article,Son2025,"H. Son, G. Kwon, J. Park, H. Nam, and H. Park",,1939-9359,,2025-06-12,0000-00-00,,,IEEE Transactions on Vehicular Technology,74,11,18190 - 18195,,,,,,,,,,"One of representative strategies for hybrid analog-and-digital beamforming (HBF) in massive multiple-input multiple-output (MIMO) systems is the two-stage design, where radio frequency (RF) and baseband (BB) beamformers are optimized sequentially. However, the two-stage approach overlooks the impact of BB beamforming (BF) on RF BF design, resulting in loss of optimality of RF BF. To address this, we propose an iterative two-stage HBF design that considers the influence of BB BF on RF BF design. The BB BF is designed per subcarrier for orthogonal frequency division multiplexing (OFDM) systems and optimized under per-RF chain power constraints. Simulation results verify superiority of the proposed HBF design.",,,,,,,10.1109/TVT.2025.3574475,0,0,published,2025-05-12 13:45:29,2026-01-19 14:10:19,,0
1188,Distributed Multi-agent Reinforcement Learning for Scalable Cell-Free MIMO Networks,article,Lee2025b,"S. Lee, G. Kwon, J. Park, H. Park",,1558-2248,,2025-05-30,0000-00-00,,,IEEE Transactions on Wireless Communications,24,11,9156 - 9172,,,,,,,,,,"Cell-free multiple-input-multiple-output (MIMO) is poised to enable scalable next-generation cellular networks. To this end, it is crucial to optimize the cell-free MIMO link configuration, including user associations, data stream allocation, and beamforming (BF). However, the scalability of link configuration optimization is significantly challenged as signaling and computational costs increase with the number of base stations (BSs) and user equipments (UEs). To address this scalability issue, this paper proposes a distributed multi-agent deep reinforcement learning (MADRL)-based cell-free MIMO link configuration framework that leverages interference approximation to minimize signaling overhead required for channel state information (CSI) exchange. Our proposed framework reduces the solution search space suitable for distributed MADRL, by decomposing the original sum rate maximization problem into BS-specific tasks. Simulation results show that our proposed method achieves scalability, as the sum rate increases with the number of BSs and UEs.",,,,,,,10.1109/TWC.2025.3571465,0,0,published,2025-05-12 13:46:40,2026-01-19 14:12:09,,0
1186,Hybrid Beamforming Design on Riemannian Manifolds for Wideband MIMO Systems,article,Nam2025,"H. Nam, G. Kwon, H. Park",,2169-3536,,2025-03-27,0000-00-00,,,IEEE Access,13,,56958 - 56981,,,,,,,,,,"This paper proposes a novel, unified approach to design both radio frequency (RF) and baseband beamforming (BF) solutions for wideband hybrid multiple-input multiple-output (MIMO) systems using the Riemannian manifold optimization. The proposed two-stage optimization framework effectively addresses various power constraints of the wideband hybrid MIMO systems, including total sum power, per-RF-chain, and per-antenna power constraints. By transforming constrained optimization problems into unconstrained ones on Riemannian submanifolds, we achieve notable improvements in spectral efficiency (SE) and power consumption. In addition, we account for the log-determinant structure of the objective function, which forms an unconstrained solution subspace. This allows for a more efficient retraction process towards the manifold, representing the set of solutions that satisfy the constraints. This unified design approach provides a more accurate and efficient solution to non-convex optimization problems with complex constraints. Simulation results demonstrate the superior performance of the proposed approach over conventional approaches.",,,,,,,10.1109/ACCESS.2025.3555296,0,0,published,2025-03-20 12:38:52,2025-08-20 15:27:41,,0
