과제명,지원기관,유형,시작,종료,종료연도,원본상태
새로운 자원을 활용한 beyond 5G 이동통신 변혁기술 개발,IITP,,2018.07,2025.12,2025,active
Development of communication/computing-integrated revolutionary technologies for superintelligent services,,,2020.07,2025.12,2025,Current(상세글)
Development of low-latency/high-reliability sensing and management technology for NAND flash memory reflecting variation between chips,,,2020.09,2025.09,2025,Current(상세글)
Massive MIMO Systems with Multi-numerology,,,2020.04,2025.04,2025,Current(상세글)
Development of Intelligent THz beamforming technology realizing 6G  mobile communications,,,2020.09,2023.02,2023,Current(상세글)
동시 무선 정보 및 전력 전송 기술 연구,과학기술정보통신부,,2017.04,2021.12,2021,active
다중 안테나 기반 동일 자원을 활용한 정보 및 전력 동시 전송 시스템 개발,IITP,,2017.04,2021.12,2021,active
Virtual Presence in Moving Objects through 5G (PriMO-5G),IITP,,2019.10,2021.06,2021,complete
이동체간 가상현실을 위한 5G 이동통신 기술 연구,IITP,,2018.06,2021.05,2021,active
Massive MIMO Systems with Multi-numerology (SNIC),Samsung Electronics,,2020.04,2021.04,2021,active
저지연 고신뢰 NAND 플래시 메모리를 위한 기계학습 기반 sensing 및 management 기술 연구,Samsung Electronics,,2018.09,2020.06,2020,complete
3차원 무선 네트워크에서 최적의 중계기술 연구,NRF,,2017.03,2020.02,2020,complete
200Gbps 근거리 무선통신용 초고속 MIMO RF 프론트엔드 구현,IITP,,2017.04,2019.12,2019,complete
5G초고주파 기반 고속이동체 환경에서의 채널특성 및 성능평가 국제 공동연구,과학기술정보통신부,,2017.10,2019.09,2019,complete
SDR (Software Defined Radio) 플랫폼을 통한 인덱스 코딩을 사용한 무선 캐싱 시스템 개발,IITP,,2016.04,2019.03,2019,complete
개방형 5G 표준 모델 개발,IITP,,2017.05,2019.02,2019,complete
저장매체를 무선 통신 자원으로 활용하는 신개념 통신 시스템 연구,IITP,,2016.04,2018.02,2018,complete
